task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
eb281b96,19.97,10,1936,13284,0.5
eb281b96,20.58,10,1936,12731,0.7
eb281b96,11.98,10,1936,12541,0.9
d6ad076f,16.17,10,2271,18555,0.1
d6ad076f,15.62,10,2271,22429,0.3
d6ad076f,15.16,10,2271,11274,0.5
d6ad076f,18.95,10,2271,18271,0.7
d6ad076f,16.27,10,2271,8774,0.9
a3df8b1e,10.78,10,1011,11017,0.1
a3df8b1e,9.21,10,1011,8936,0.3
a3df8b1e,11.58,10,1011,9755,0.5
a3df8b1e,8.59,10,1011,9466,0.7
a3df8b1e,11.78,10,1011,10390,0.9
b0c4d837,20.29,10,1749,17780,0.1
b0c4d837,18.04,10,1749,19858,0.3
b0c4d837,15.57,10,1749,17452,0.5
b0c4d837,16.69,10,1749,21844,0.7
b0c4d837,17.81,10,1749,19667,0.9
c59eb873,9.03,10,906,11361,0.1
c59eb873,9.22,10,906,10463,0.3
c59eb873,11.92,10,906,10524,0.5
c59eb873,11.53,10,906,10615,0.7
c59eb873,12.89,10,906,12030,0.9
a2fd1cf0,18.29,10,3789,19373,0.1
a2fd1cf0,18.59,10,3789,19106,0.3
a2fd1cf0,18.01,10,3789,18720,0.5
a2fd1cf0,18.23,10,3789,11367,0.7
a2fd1cf0,18.33,10,3789,14911,0.9
4c4377d9,18.16,10,917,15994,0.1
4c4377d9,11.96,10,917,12803,0.3
4c4377d9,11.19,10,917,13032,0.5
4c4377d9,12.9,10,917,13930,0.7
4c4377d9,13.01,10,917,13656,0.9
447fd412,17.84,10,3495,10914,0.1
447fd412,17.61,10,3495,10573,0.3
447fd412,18.34,10,3495,16492,0.5
447fd412,18.84,10,3495,21833,0.7
447fd412,18.22,10,3495,19363,0.9
a699fb00,18.93,10,1821,21242,0.1
a699fb00,17.82,10,1821,17135,0.3
a699fb00,11.9,10,1821,9828,0.5
a699fb00,26.19,10,1821,17555,0.7
a699fb00,18.02,10,1821,19978,0.9
3345333e,18.18,10,3529,17028,0.1
3345333e,25.19,10,3529,24843,0.3
3345333e,18.02,10,3529,19873,0.5
3345333e,18.75,10,3529,25841,0.7
3345333e,19.04,10,3529,25578,0.9
0ca9ddb6,18.01,10,1929,15111,0.1
0ca9ddb6,18.54,10,1929,19149,0.3
0ca9ddb6,15.66,10,1929,18137,0.5
0ca9ddb6,18.54,10,1929,20766,0.7
0ca9ddb6,18.66,10,1929,22303,0.9
9aec4887,17.96,10,2829,15592,0.1
9aec4887,18.12,10,2829,18127,0.3
9aec4887,19.05,10,2829,20161,0.5
9aec4887,19.66,10,2829,23504,0.7
9aec4887,18.33,10,2829,20217,0.9
