task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
4be741c5,7.11,10,1508,3664,0.7
4be741c5,5.43,10,1508,3833,0.8
4be741c5,5.17,10,1508,3700,0.9
6aa20dc0,11.12,10,7892,5861,0.1
6aa20dc0,13.83,10,7892,6659,0.2
6aa20dc0,10.44,10,7892,6096,0.3
6aa20dc0,32.93,10,7892,6827,0.5
6aa20dc0,11.92,10,7892,6536,0.5
6aa20dc0,14.23,10,7892,6632,0.6
6aa20dc0,36.86,10,7892,10914,0.6
6aa20dc0,14.84,10,7892,6430,0.7
6aa20dc0,35.03,10,7892,8290,0.8
6aa20dc0,34.81,10,7892,9022,0.9
29c11459,9.75,10,966,4814,0.1
29c11459,14.33,10,966,5258,0.2
29c11459,13.82,10,966,5817,0.3
29c11459,13.01,10,966,5351,0.5
29c11459,21.2,10,966,6724,0.5
29c11459,14.23,10,966,5868,0.6
29c11459,15.56,10,966,5715,0.6
29c11459,8.4,10,966,5119,0.7
29c11459,16.8,10,966,6307,0.8
29c11459,18.02,10,966,5485,0.9
4612dd53,8.19,10,2894,5524,0.1
4612dd53,10.96,10,2894,5785,0.2
4612dd53,7.73,10,2894,5585,0.3
4612dd53,8.96,10,2894,6007,0.5
4612dd53,10.04,10,2894,5942,0.5
4612dd53,10.45,10,2894,5707,0.6
4612dd53,34.61,10,2894,8169,0.6
4612dd53,13.21,10,2894,6100,0.7
4612dd53,10.96,10,2894,6005,0.8
4612dd53,15.77,10,2894,5888,0.9
995c5fa3,35.79,10,1114,10808,0.1
995c5fa3,23.76,10,1114,10384,0.2
995c5fa3,19.55,10,1114,9043,0.3
995c5fa3,24.47,10,1114,9530,0.5
995c5fa3,11.88,10,1114,7195,0.5
995c5fa3,12.8,10,1114,7090,0.6
995c5fa3,23.24,10,1114,8656,0.6
995c5fa3,23.29,10,1114,11176,0.7
995c5fa3,20.13,10,1114,7524,0.8
995c5fa3,22.02,10,1114,9908,0.9
484b58aa,16.35,10,15458,6319,0.1
484b58aa,44.95,10,15458,10394,0.2
484b58aa,38.19,10,15458,9776,0.3
484b58aa,19.15,10,15458,6719,0.5
484b58aa,22.02,10,15458,6507,0.5
484b58aa,16.79,10,15458,5566,0.6
484b58aa,14.24,10,15458,5327,0.6
484b58aa,41.27,10,15458,9368,0.7
484b58aa,25.4,10,15458,8405,0.8
484b58aa,24.88,10,15458,7864,0.9
6d0aefbc,13.88,10,658,4862,0.1
6d0aefbc,10.34,10,658,5016,0.2
6d0aefbc,10.55,10,658,5836,0.3
6d0aefbc,12.08,10,658,6751,0.5
6d0aefbc,12.5,10,658,6499,0.5
6d0aefbc,11.77,10,658,7686,0.6
6d0aefbc,16.79,10,658,6930,0.6
6d0aefbc,13.83,10,658,6295,0.7
6d0aefbc,40.96,10,658,6207,0.8
6d0aefbc,37.79,10,658,8355,0.9
6e19193c,11.17,10,1506,3087,0.1
6e19193c,7.78,10,1506,3524,0.2
6e19193c,6.45,10,1506,3243,0.3
6e19193c,12.29,10,1506,4340,0.5
6e19193c,7.78,10,1506,3870,0.5
6e19193c,9.42,10,1506,3752,0.6
6e19193c,20.78,10,1506,4756,0.6
6e19193c,5.74,10,1506,3741,0.7
6e19193c,6.35,10,1506,3937,0.8
6e19193c,16.59,10,1506,4741,0.9
ce4f8723,15.37,10,958,8743,0.1
ce4f8723,26.41,10,958,6572,0.2
ce4f8723,31.03,10,958,8341,0.3
ce4f8723,34.41,10,958,9558,0.5
ce4f8723,13.0,10,958,6248,0.5
ce4f8723,15.3,10,958,6793,0.6
ce4f8723,17.47,10,958,6258,0.6
ce4f8723,32.98,10,958,8811,0.7
ce4f8723,15.98,10,958,7005,0.8
ce4f8723,27.44,10,958,7779,0.9
928ad970,31.78,10,3686,8464,0.1
928ad970,8.5,10,3686,5888,0.2
928ad970,10.44,10,3686,6280,0.3
928ad970,38.54,10,3686,8829,0.5
928ad970,12.26,10,3686,5783,0.5
928ad970,12.08,10,3686,6255,0.6
928ad970,7.78,10,3686,5620,0.6
928ad970,9.42,10,3686,5859,0.7
928ad970,27.14,10,3686,7516,0.8
928ad970,9.93,10,3686,5841,0.9
af902bf9,8.56,10,2120,5245,0.1
af902bf9,8.45,10,2120,5694,0.2
af902bf9,12.24,10,2120,5739,0.3
af902bf9,13.18,10,2120,5943,0.5
af902bf9,10.85,10,2120,5377,0.5
af902bf9,11.88,10,2120,6112,0.6
af902bf9,7.68,10,2120,5652,0.6
af902bf9,7.89,10,2120,5133,0.7
af902bf9,7.79,10,2120,5419,0.8
af902bf9,9.92,10,2120,5649,0.9
77fdfe62,33.72,10,920,6944,0.1
77fdfe62,11.98,10,920,5834,0.2
77fdfe62,17.0,10,920,6357,0.3
77fdfe62,8.5,10,920,6007,0.5
77fdfe62,12.69,10,920,6120,0.5
77fdfe62,16.9,10,920,6002,0.6
77fdfe62,16.8,10,920,6554,0.6
77fdfe62,22.53,10,920,8443,0.7
77fdfe62,32.87,10,920,10461,0.8
77fdfe62,15.98,10,920,7757,0.9
eb5a1d5d,9.17,10,5468,5840,0.1
eb5a1d5d,34.82,10,5468,9260,0.2
eb5a1d5d,13.62,10,5468,7036,0.3
eb5a1d5d,11.98,10,5468,5966,0.5
eb5a1d5d,35.95,10,5468,8953,0.5
eb5a1d5d,15.56,10,5468,6550,0.6
eb5a1d5d,11.16,10,5468,5922,0.6
eb5a1d5d,10.75,10,5468,6016,0.7
eb5a1d5d,13.82,10,5468,6784,0.8
eb5a1d5d,12.29,10,5468,7114,0.9
cbded52d,6.25,10,1472,3308,0.1
cbded52d,6.96,10,1472,3840,0.2
cbded52d,10.55,10,1472,4064,0.3
cbded52d,17.33,10,1472,4638,0.5
cbded52d,10.83,10,1472,4767,0.5
cbded52d,9.83,10,1472,4386,0.6
cbded52d,7.07,10,1472,3648,0.6
cbded52d,10.95,10,1472,4469,0.7
cbded52d,22.63,10,1472,7109,0.8
cbded52d,19.97,10,1472,6161,0.9
57aa92db,44.49,10,6670,10450,0.1
57aa92db,36.87,10,6670,8831,0.2
57aa92db,43.83,10,6670,10482,0.3
57aa92db,36.35,10,6670,9482,0.5
57aa92db,39.01,10,6670,9445,0.5
57aa92db,34.92,10,6670,9080,0.6
57aa92db,11.67,10,6670,6217,0.6
57aa92db,10.45,10,6670,5866,0.7
57aa92db,11.05,10,6670,6262,0.8
57aa92db,9.42,10,6670,6156,0.9
6ecd11f4,11.51,10,5600,6446,0.1
6ecd11f4,42.39,10,5600,9146,0.2
6ecd11f4,14.64,10,5600,5775,0.3
6ecd11f4,16.18,10,5600,6686,0.5
6ecd11f4,10.75,10,5600,6205,0.5
6ecd11f4,10.45,10,5600,6450,0.6
6ecd11f4,38.81,10,5600,10280,0.6
6ecd11f4,26.93,10,5600,6407,0.7
6ecd11f4,33.49,10,5600,8607,0.8
6ecd11f4,11.83,10,5600,5982,0.9
49d1d64f,12.39,10,560,8784,0.1
49d1d64f,11.47,10,560,7404,0.2
49d1d64f,14.85,10,560,7795,0.3
49d1d64f,14.99,10,560,8251,0.5
49d1d64f,13.49,10,560,7884,0.5
49d1d64f,12.7,10,560,8353,0.6
49d1d64f,13.31,10,560,8267,0.6
49d1d64f,13.43,10,560,8062,0.7
49d1d64f,12.68,10,560,7475,0.8
49d1d64f,11.57,10,560,8256,0.9
c8cbb738,8.53,10,1637,5588,0.1
c8cbb738,20.26,10,1637,6963,0.2
c8cbb738,36.36,10,1637,9104,0.3
c8cbb738,37.35,10,1637,10413,0.5
c8cbb738,12.93,10,1637,5547,0.5
c8cbb738,8.7,10,1637,5494,0.6
c8cbb738,11.98,10,1637,6979,0.6
c8cbb738,11.16,10,1637,6272,0.7
c8cbb738,9.21,10,1637,6145,0.8
c8cbb738,30.31,10,1637,10819,0.9
834ec97d,8.65,10,1010,5652,0.1
834ec97d,8.29,10,1010,5704,0.2
834ec97d,13.62,10,1010,7050,0.3
834ec97d,15.88,10,1010,6715,0.5
834ec97d,18.02,10,1010,7062,0.5
834ec97d,16.59,10,1010,7841,0.6
834ec97d,33.59,10,1010,9064,0.6
834ec97d,15.46,10,1010,6256,0.7
834ec97d,15.87,10,1010,8525,0.8
834ec97d,17.43,10,1010,7526,0.9
1190e5a7,37.81,10,3677,8323,0.1
1190e5a7,21.2,10,3677,6913,0.2
1190e5a7,14.45,10,3677,6434,0.3
1190e5a7,11.53,10,3677,7442,0.5
1190e5a7,15.39,10,3677,7419,0.5
1190e5a7,15.77,10,3677,7425,0.6
1190e5a7,15.16,10,3677,6699,0.6
1190e5a7,19.76,10,3677,7653,0.7
1190e5a7,13.95,10,3677,7434,0.8
1190e5a7,13.91,10,3677,6805,0.9
aabf363d,7.78,10,894,3855,0.1
aabf363d,5.68,10,894,3873,0.2
aabf363d,5.43,10,894,3611,0.3
aabf363d,6.66,10,894,3657,0.5
aabf363d,8.39,10,894,3872,0.5
aabf363d,5.83,10,894,3441,0.6
aabf363d,5.33,10,894,3490,0.6
aabf363d,9.08,10,894,4074,0.7
aabf363d,9.88,10,894,4083,0.8
aabf363d,4.7,10,894,3571,0.9
4347f46a,40.53,10,3176,13167,0.1
4347f46a,9.36,10,3176,6510,0.2
4347f46a,8.4,10,3176,5404,0.3
4347f46a,12.29,10,3176,6492,0.5
4347f46a,9.11,10,3176,6074,0.5
4347f46a,9.52,10,3176,5955,0.6
4347f46a,10.75,10,3176,6240,0.6
4347f46a,9.83,10,3176,5792,0.7
4347f46a,9.01,10,3176,5727,0.8
4347f46a,13.31,10,3176,6305,0.9
83302e8f,16.38,10,10988,8295,0.1
83302e8f,14.95,10,10988,6553,0.2
83302e8f,12.8,10,10988,6656,0.3
83302e8f,14.13,10,10988,7289,0.5
83302e8f,37.27,10,10988,10003,0.5
83302e8f,17.61,10,10988,7802,0.6
83302e8f,23.35,10,10988,7697,0.6
83302e8f,14.65,10,10988,7403,0.7
83302e8f,20.48,10,10988,7743,0.8
83302e8f,18.33,10,10988,6750,0.9
6773b310,13.14,10,1894,7081,0.1
6773b310,13.41,10,1894,6153,0.2
6773b310,28.98,10,1894,10300,0.3
6773b310,16.28,10,1894,8277,0.5
6773b310,16.08,10,1894,8181,0.5
6773b310,16.38,10,1894,7094,0.6
6773b310,16.39,10,1894,7462,0.6
6773b310,16.88,10,1894,7008,0.7
6773b310,13.73,10,1894,7146,0.8
6773b310,16.49,10,1894,7625,0.9
44d8ac46,7.83,10,3790,5612,0.1
44d8ac46,11.28,10,3790,5904,0.2
44d8ac46,11.15,10,3790,6023,0.3
44d8ac46,12.39,10,3790,6191,0.5
44d8ac46,10.05,10,3790,5522,0.5
44d8ac46,12.79,10,3790,6118,0.6
44d8ac46,9.62,10,3790,5777,0.6
44d8ac46,9.93,10,3790,5710,0.7
44d8ac46,8.81,10,3790,5547,0.8
44d8ac46,36.15,10,3790,10450,0.9
67385a82,10.99,10,808,5464,0.1
67385a82,17.1,10,808,8059,0.2
67385a82,15.37,10,808,6709,0.3
67385a82,14.63,10,808,7588,0.5
67385a82,22.84,10,808,6342,0.5
67385a82,14.64,10,808,6390,0.6
67385a82,11.37,10,808,5417,0.6
67385a82,16.48,10,808,8442,0.7
67385a82,20.07,10,808,7468,0.8
67385a82,16.28,10,808,7390,0.9
a416b8f3,5.53,10,653,2701,0.1
a416b8f3,8.19,10,653,4100,0.2
a416b8f3,12.39,10,653,6326,0.3
a416b8f3,18.03,10,653,5953,0.5
a416b8f3,8.09,10,653,5746,0.5
a416b8f3,8.6,10,653,6183,0.6
a416b8f3,9.63,10,653,4837,0.6
a416b8f3,17.0,10,653,6358,0.7
a416b8f3,10.65,10,653,5760,0.8
a416b8f3,9.85,10,653,6215,0.9
1b2d62fb,32.23,10,1098,8135,0.1
1b2d62fb,9.01,10,1098,5462,0.2
1b2d62fb,31.85,10,1098,10835,0.3
